Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1743082200,0,"2025-03-27 13:30:00",302.98999,304.032989,301.27539,303.579986,148109
1743085800,0,"2025-03-27 14:30:00",303.890014,305.040008,303.149993,304.420013,148216
1743089400,0,"2025-03-27 15:30:00",304.339996,304.869995,303.015991,304.454986,98517
1743093000,0,"2025-03-27 16:30:00",304.450012,304.609985,303.622894,304.23001,79011
1743096600,0,"2025-03-27 17:30:00",304.154998,304.440002,303.299987,303.987487,68139
1743100200,0,"2025-03-27 18:30:00",303.970001,305.140014,303.970001,305.140014,121287
1743103800,0,"2025-03-27 19:30:00",,,,,
1743105600,0,"2025-03-27 20:00:00",305.429992,305.429992,305.429992,305.429992,
1743168600,0,"2025-03-28 13:30:00",307,308.890014,304.709991,304.709991,78907
1743172200,0,"2025-03-28 14:30:00",303.73001,305.570007,303.73001,304.48001,190521
1743175800,0,"2025-03-28 15:30:00",304.635009,305,302.790008,302.839996,269604
1743179400,0,"2025-03-28 16:30:00",302.755004,303.669891,302.48999,302.48999,97424
1743183000,0,"2025-03-28 17:30:00",302.649993,303.019989,301.559997,301.559997,73742
1743186600,0,"2025-03-28 18:30:00",301.649993,301.869995,300.654998,301.019012,246196
1743190200,0,"2025-03-28 19:30:00",,,,,
1743192000,0,"2025-03-28 20:00:00",300.829986,300.829986,300.829986,300.829986,
1743427800,0,"2025-03-31 13:30:00",301.100006,303.290008,300.134704,301.765014,236575
1743431400,0,"2025-03-31 14:30:00",301.709991,303.390014,300.899993,302.470001,284711
1743435000,0,"2025-03-31 15:30:00",302.380004,302.970001,301.429992,302.329986,110942
1743438600,0,"2025-03-31 16:30:00",302.350006,302.411987,301.420013,301.649993,119753
1743442200,0,"2025-03-31 17:30:00",301.709991,304.045013,301.560211,304.045013,139987
1743445800,0,"2025-03-31 18:30:00",304.179992,305.670013,303.540008,304.98999,145766
1743449400,0,"2025-03-31 19:30:00",,,,,
1743451200,0,"2025-03-31 20:00:00",305.529998,305.529998,305.529998,305.529998,
1743514200,0,"2025-04-01 13:30:00",307.200012,307.510009,303.590087,305.359985,142477
1743517800,0,"2025-04-01 14:30:00",305.23001,306.880004,303.654998,306.154998,217350
1743521400,0,"2025-04-01 15:30:00",306.174987,306.75,305.869995,305.869995,78274
1743525000,0,"2025-04-01 16:30:00",305.774993,306.109985,305.160003,305.160003,69398
1743528600,0,"2025-04-01 17:30:00",305.369995,305.790008,304.589996,304.654998,81964
