Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1743082200,0,"2025-03-27 13:30:00",211.070007,214.300003,209.660003,213.25,332803
1743085800,0,"2025-03-27 14:30:00",213.080001,213.699905,212.600006,213.130004,253859
1743089400,0,"2025-03-27 15:30:00",213.130004,213.309997,211.774993,212.479995,283149
1743093000,0,"2025-03-27 16:30:00",212.479995,212.979995,212.300003,212.699996,130572
1743096600,0,"2025-03-27 17:30:00",212.649993,213.720001,212.210006,213.350006,304100
1743100200,0,"2025-03-27 18:30:00",213.309997,215.050003,213.300903,214.649993,291833
1743103800,0,"2025-03-27 19:30:00",214.639999,214.809997,213.940002,214.029998,351610
1743105600,0,"2025-03-27 20:00:00",214.039993,214.039993,214.039993,214.039993,
1743168600,0,"2025-03-28 13:30:00",215.639999,215.639999,213.36,214.744995,421590
1743172200,0,"2025-03-28 14:30:00",214.566604,214.949905,214.169998,214.410003,183940
1743175800,0,"2025-03-28 15:30:00",214.304992,215.320007,213.960006,214.919998,157478
1743179400,0,"2025-03-28 16:30:00",214.830001,215.169998,214.625,214.764801,149243
1743183000,0,"2025-03-28 17:30:00",214.940002,215.220001,214.235,214.350006,135558
1743186600,0,"2025-03-28 18:30:00",214.320007,215.309997,214.274993,215.134994,155343
1743190200,0,"2025-03-28 19:30:00",215.115005,215.815002,214.889999,215.479995,351050
1743192000,0,"2025-03-28 20:00:00",215.559997,215.559997,215.559997,215.559997,
1743427800,0,"2025-03-31 13:30:00",216.550003,218.600006,215.720001,216.809997,426990
1743431400,0,"2025-03-31 14:30:00",216.800003,217.61,216.570007,216.929992,251237
1743435000,0,"2025-03-31 15:30:00",216.800003,217.240005,216.300003,216.854995,222372
1743438600,0,"2025-03-31 16:30:00",216.949996,217.059997,216.039993,216.554992,127925
1743442200,0,"2025-03-31 17:30:00",216.619995,217.960006,216.310104,217.800003,211469
1743445800,0,"2025-03-31 18:30:00",217.850006,219.179992,217.800003,218.940002,266075
1743449400,0,"2025-03-31 19:30:00",218.929992,219.369995,217.240005,217.600006,641688
1743451200,0,"2025-03-31 20:00:00",217.600006,217.600006,217.600006,217.600006,
1743514200,0,"2025-04-01 13:30:00",220.080001,220.699996,217.600006,218.149993,442494
1743517800,0,"2025-04-01 14:30:00",218.160003,219.669998,218.048202,218.785003,240654
1743521400,0,"2025-04-01 15:30:00",218.779998,219.645004,218.524627,218.570007,182442
1743525000,0,"2025-04-01 16:30:00",218.559997,219.259994,218.119995,218.539993,225635
1743528600,0,"2025-04-01 17:30:00",218.490005,218.759994,217.910003,218.710006,168139
1743532200,0,"2025-04-01 18:30:00",218.649993,218.649993,217.929092,218.490005,167978
1743535800,0,"2025-04-01 19:30:00",218.494995,219.699996,218.335006,219.410003,300426
1743537600,0,"2025-04-01 20:00:00",219.440002,219.440002,219.440002,219.440002,
1743600600,0,"2025-04-02 13:30:00",219.880004,220.479995,217.764999,218.710006,264557
1743604200,0,"2025-04-02 14:30:00",218.86,219.800003,218.619995,218.679992,177897
1743607800,0,"2025-04-02 15:30:00",218.720001,219,217.259994,217.740005,159485
1743611400,0,"2025-04-02 16:30:00",217.694702,218.619995,217.694702,217.875,207355
1743615000,0,"2025-04-02 17:30:00",217.875,218.020004,216.460098,216.735,294843
1743618600,0,"2025-04-02 18:30:00",216.735,217.149993,216.289993,216.410003,285072
1743622200,0,"2025-04-02 19:30:00",216.410003,217.990005,216.369995,217.86,670112
1743624000,0,"2025-04-02 20:00:00",217.899993,217.899993,217.899993,217.899993,
1743687000,0,"2025-04-03 13:30:00",225,231.029998,220,225.190002,1226924
1743690600,0,"2025-04-03 14:30:00",225.380004,228.339904,225.210006,227.399993,566983
1743694200,0,"2025-04-03 15:30:00",227.369995,227.5,225.334106,225.884994,410226
1743697800,0,"2025-04-03 16:30:00",225.880004,226.085006,224.289993,225.779998,292636
1743701400,0,"2025-04-03 17:30:00",225.710006,226.729995,225.100006,225.789993,845612
1743705000,0,"2025-04-03 18:30:00",225.929992,228.559997,225.524993,228.559997,633525
1743708600,0,"2025-04-03 19:30:00",228.320007,228.869995,226.970001,228.139999,1321515
1743710400,0,"2025-04-03 20:00:00",228.190002,228.190002,228.190002,228.190002,
1743773400,0,"2025-04-04 13:30:00",232.770004,233.800003,227.369995,229.264999,2973193
1743777000,0,"2025-04-04 14:30:00",229.300003,230.830001,225.589996,225.929992,1374020
1743780600,0,"2025-04-04 15:30:00",226.009994,227.869995,224.714996,224.914993,1291420
1743784200,0,"2025-04-04 16:30:00",225.080001,226.050003,223.740005,224.330001,764277
1743787800,0,"2025-04-04 17:30:00",224.190002,225.119995,221.452194,222.054992,654703
1743791400,0,"2025-04-04 18:30:00",222.050003,224.039993,221.850006,223.175003,1128632
1743795000,0,"2025-04-04 19:30:00",223.175003,223.869995,220.029998,220.270004,1093716
1743796800,0,"2025-04-04 20:00:00",220.169998,220.169998,220.169998,220.169998,
1744032600,0,"2025-04-07 13:30:00",217.350006,221.910003,211.720092,215.460006,1121597
1744036200,0,"2025-04-07 14:30:00",215.259994,217.710006,212.139999,212.264999,554338
1744039800,0,"2025-04-07 15:30:00",212.255004,216.300003,212.255004,215.589996,528047
1744043400,0,"2025-04-07 16:30:00",215.342895,215.850006,212.557098,215.309997,456881
1744047000,0,"2025-04-07 17:30:00",215.134994,217.100006,214.330001,215.839996,374735
1744050600,0,"2025-04-07 18:30:00",215.875,216.229995,212.779998,213.130004,542645
1744054200,0,"2025-04-07 19:30:00",213.205001,214.649993,211.639999,213.259994,814903
1744056000,0,"2025-04-07 20:00:00",213.389999,213.389999,213.389999,213.389999,
1744119000,0,"2025-04-08 13:30:00",215.089996,216.690002,208.078796,211.220001,1235285
1744122600,0,"2025-04-08 14:30:00",211.139999,211.880004,208.509994,208.585006,612047
1744126200,0,"2025-04-08 15:30:00",208.759994,210.744995,208.759994,210.589996,352490
1744129800,0,"2025-04-08 16:30:00",210.600006,210.794998,208.300003,208.365005,450190
1744133400,0,"2025-04-08 17:30:00",208.320007,209.294998,205.649993,205.789993,349844
1744137000,0,"2025-04-08 18:30:00",205.800003,207.61,205.75,207.005004,571306
1744140600,0,"2025-04-08 19:30:00",207.005004,207.020004,202.009994,204.600006,1055712
1744142400,0,"2025-04-08 20:00:00",204.660003,204.660003,204.660003,204.660003,
1744205400,0,"2025-04-09 13:30:00",202.11,203.410003,197.5,202.626602,866743
1744209000,0,"2025-04-09 14:30:00",202.479995,203.830001,200.720001,203.748001,453677
1744212600,0,"2025-04-09 15:30:00",203.759994,204.460006,202.139999,204.160003,294147
1744216200,0,"2025-04-09 16:30:00",204.089996,211.940002,203.570007,209.690002,541030
1744219800,0,"2025-04-09 17:30:00",209.675003,211.429992,205.369995,206.039993,1029786
1744223400,0,"2025-04-09 18:30:00",206.139999,206.705001,202.800003,206.479995,829636
1744227000,0,"2025-04-09 19:30:00",206.389999,208.115005,205.350006,207.399993,946724
1744228800,0,"2025-04-09 20:00:00",207.479995,207.479995,207.479995,207.479995,
1744291800,0,"2025-04-10 13:30:00",207.75,213.164993,205.429992,209.630004,418108
1744295400,0,"2025-04-10 14:30:00",209.195007,209.239395,206.179992,206.630004,378503
1744299000,0,"2025-04-10 15:30:00",206.479995,207.190002,203.494995,204.160003,265035
1744302600,0,"2025-04-10 16:30:00",204.210006,207.234497,203.850006,205.339996,352630
1744306200,0,"2025-04-10 17:30:00",205.285095,208.595001,204.975006,208.339996,437108
1744309800,0,"2025-04-10 18:30:00",208.149993,210.309997,207.399993,208.289993,424816
1744313400,0,"2025-04-10 19:30:00",208.285003,209.332199,206.330001,208.210006,626409
1744315200,0,"2025-04-10 20:00:00",208.320007,208.320007,208.320007,208.320007,
1744378200,0,"2025-04-11 13:30:00",206.520004,209.699996,205.154907,207.970001,387106
1744381800,0,"2025-04-11 14:30:00",207.899993,209.61,207.440002,208.630004,296407
1744385400,0,"2025-04-11 15:30:00",208.675003,211.634994,208.315002,211.470001,203722
1744389000,0,"2025-04-11 16:30:00",211.490005,212.7285,210.589996,210.649993,264608
1744392600,0,"2025-04-11 17:30:00",210.639999,213.100006,210.410003,212.229995,207552
1744396200,0,"2025-04-11 18:30:00",212.229995,213.5,211.789993,213.384994,205649
1744399800,0,"2025-04-11 19:30:00",213.36,213.75,212.760299,213.130004,428953
1744401600,0,"2025-04-11 20:00:00",213.220001,213.220001,213.220001,213.220001,
1744637400,0,"2025-04-14 13:30:00",213,215.600006,211.159301,215.024993,259019
