Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1743082200,0,"2025-03-27 13:30:00",177.569,178.36,172.710006,174.695007,7511775
1743085800,0,"2025-03-27 14:30:00",174.759994,175.738601,173.61,173.630004,3260447
1743089400,0,"2025-03-27 15:30:00",173.649993,173.660003,170.460006,172.75,5784922
1743093000,0,"2025-03-27 16:30:00",172.75,172.919998,171.460006,171.869995,2371064
1743096600,0,"2025-03-27 17:30:00",171.895004,172.449996,171.271102,172.339996,2454607
1743100200,0,"2025-03-27 18:30:00",172.339996,173.880004,172.11,173.479995,2481358
1743103800,0,"2025-03-27 19:30:00",173.300003,173.509506,171.770004,171.990005,3411740
1743105600,0,"2025-03-27 20:00:00",171.990005,171.990005,171.990005,171.990005,
1743168600,0,"2025-03-28 13:30:00",171.929992,173.300003,168.979995,169.259994,5853203
1743172200,0,"2025-03-28 14:30:00",169.270004,170.100006,168.009994,168.36,3834368
1743175800,0,"2025-03-28 15:30:00",168.369995,169.220001,166.470001,167.187805,2864052
1743179400,0,"2025-03-28 16:30:00",167.164993,167.630004,166.634994,167.134994,2506940
1743183000,0,"2025-03-28 17:30:00",167.141906,167.786804,166.844802,167.330001,2363567
1743186600,0,"2025-03-28 18:30:00",167.309997,169.330001,167.229995,168.11,2510885
1743190200,0,"2025-03-28 19:30:00",168.119995,169.490005,167.639999,169.100006,3388633
1743192000,0,"2025-03-28 20:00:00",169.119995,169.119995,169.119995,169.119995,
1743427800,0,"2025-03-31 13:30:00",164.485,164.485,160.649993,161.529998,7676551
1743431400,0,"2025-03-31 14:30:00",161.580001,164.050003,161.580001,163.720001,4199258
1743435000,0,"2025-03-31 15:30:00",163.705001,165.219894,163.380004,165.199996,2899116
1743438600,0,"2025-03-31 16:30:00",165.199996,165.339996,163.720001,164.075302,1960202
1743442200,0,"2025-03-31 17:30:00",164.080001,165.740005,163.949996,165.669998,2224416
1743445800,0,"2025-03-31 18:30:00",165.649993,166.350006,164.899993,165.36,2838523
1743449400,0,"2025-03-31 19:30:00",165.214996,167.929992,165.149993,167.520004,4581742
1743451200,0,"2025-03-31 20:00:00",167.429992,167.429992,167.429992,167.429992,
1743514200,0,"2025-04-01 13:30:00",166.369995,167.434997,163.419998,163.963302,4249236
1743517800,0,"2025-04-01 14:30:00",163.955001,167.389999,163.684997,166.910003,2822342
1743521400,0,"2025-04-01 15:30:00",166.940002,168.710006,166.5,167.259994,2222658
1743525000,0,"2025-04-01 16:30:00",167.259994,167.729995,166.199996,167.035003,1309087
1743528600,0,"2025-04-01 17:30:00",167,168.039993,164.899993,165.259994,1591857
1743532200,0,"2025-04-01 18:30:00",165.240005,166.970001,165,166.615005,1900408
1743535800,0,"2025-04-01 19:30:00",166.61,168.679992,166.479995,168.470001,2355492
1743537600,0,"2025-04-01 20:00:00",168.520004,168.520004,168.520004,168.520004,
1743600600,0,"2025-04-02 13:30:00",166.080001,170,165.5,169.649993,3359166
1743604200,0,"2025-04-02 14:30:00",169.740005,170.619995,168.460006,170.315002,1804036
1743607800,0,"2025-04-02 15:30:00",170.350006,172.139999,170.119995,172.085006,2568924
1743611400,0,"2025-04-02 16:30:00",172.085006,173.429992,168.520004,172.934997,2306729
1743615000,0,"2025-04-02 17:30:00",172.925003,172.925003,168.520004,169.699996,1653418
1743618600,0,"2025-04-02 18:30:00",169.679992,171.184997,169.539993,170.660003,1833450
1743622200,0,"2025-04-02 19:30:00",170.630004,172.580001,170.294998,172,2394712
1743624000,0,"2025-04-02 20:00:00",172.089996,172.089996,172.089996,172.089996,
1743687000,0,"2025-04-03 13:30:00",160.61,163.425003,159.75,161.020004,8073654
1743690600,0,"2025-04-03 14:30:00",161.020004,161.449996,157.5,158.11,5294671
1743694200,0,"2025-04-03 15:30:00",158.11,159.744995,157.940002,159.589996,3126688
1743697800,0,"2025-04-03 16:30:00",159.589996,159.832504,156.649993,157.970001,3071345
1743701400,0,"2025-04-03 17:30:00",157.945007,158.569107,155.919998,156.300003,3048632
1743705000,0,"2025-04-03 18:30:00",156.315002,157.889999,154.460006,154.684997,5481812
1743708600,0,"2025-04-03 19:30:00",154.679992,155.539993,153.929992,154.419998,5561032
1743710400,0,"2025-04-03 20:00:00",154.009994,154.009994,154.009994,154.009994,
1743773400,0,"2025-04-04 13:30:00",147.145004,148.5,142.080001,142.210006,14775623
