Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1743082200,0,"2025-03-27 13:30:00",502.059997,502.059997,493.779998,500.815002,40223
1743085800,0,"2025-03-27 14:30:00",500.815002,501.849914,500.325012,500.829986,27270
1743089400,0,"2025-03-27 15:30:00",499.640014,499.665008,496.880004,499,21404
1743093000,0,"2025-03-27 16:30:00",499.23001,499.359985,495.859985,498.464996,33974
1743096600,0,"2025-03-27 17:30:00",497.630004,499.359985,497.059997,498.600006,28928
1743100200,0,"2025-03-27 18:30:00",498.459991,501.890014,498.380004,501.890014,36852
1743103800,0,"2025-03-27 19:30:00",501.450012,501.450012,498.459991,498.869995,67861
1743105600,0,"2025-03-27 20:00:00",498.839996,498.839996,498.839996,498.839996,
1743168600,0,"2025-03-28 13:30:00",495.910003,498.079986,485.404998,485.75,60225
1743172200,0,"2025-03-28 14:30:00",485.410003,485.975006,482.399993,483.720001,47238
1743175800,0,"2025-03-28 15:30:00",484.25,486.519897,483.309997,483.309997,38530
1743179400,0,"2025-03-28 16:30:00",483.829986,483.839996,477.649993,479.234985,45427
1743183000,0,"2025-03-28 17:30:00",479.200012,482.274993,479.195007,481.005004,42068
1743186600,0,"2025-03-28 18:30:00",480.850006,482.179992,480.290008,481.390014,41972
1743190200,0,"2025-03-28 19:30:00",481.299987,482.910003,480.209991,481.829986,101709
1743192000,0,"2025-03-28 20:00:00",482.220001,482.220001,482.220001,482.220001,
1743427800,0,"2025-03-31 13:30:00",475.089996,477.385009,468.769989,474.609985,64287
1743431400,0,"2025-03-31 14:30:00",475.565002,479.519989,475.190002,477.769989,35286
1743435000,0,"2025-03-31 15:30:00",477.75,480.109985,476.619995,479.394989,59164
1743438600,0,"2025-03-31 16:30:00",479,481.559906,478.61499,479.600006,35877
1743442200,0,"2025-03-31 17:30:00",479.600006,483.600006,477.73941,481.390014,42595
1743445800,0,"2025-03-31 18:30:00",482.059997,484.882507,480.890014,482.475006,52527
1743449400,0,"2025-03-31 19:30:00",482.880004,487.61499,482.309997,484.260009,102448
1743451200,0,"2025-03-31 20:00:00",484.109985,484.109985,484.109985,484.109985,
1743514200,0,"2025-04-01 13:30:00",483.619995,488.037506,479.440002,482.005004,70521
1743517800,0,"2025-04-01 14:30:00",481.869995,489.070007,481.809997,487.390014,34631
1743521400,0,"2025-04-01 15:30:00",486.609985,490.179992,486.609985,488.325012,32637
1743525000,0,"2025-04-01 16:30:00",487.73999,488.234985,484.619995,484.815002,38652
1743528600,0,"2025-04-01 17:30:00",484.815002,486.429992,484.589996,485.75,61151
1743532200,0,"2025-04-01 18:30:00",485.600006,488.679992,484.609985,488.274993,70630
1743535800,0,"2025-04-01 19:30:00",488.269989,489.48999,487.209991,488.440002,93055
1743537600,0,"2025-04-01 20:00:00",488.679992,488.679992,488.679992,488.679992,
1743600600,0,"2025-04-02 13:30:00",483.100006,491.769989,483.100006,489.850006,41647
1743604200,0,"2025-04-02 14:30:00",490.225006,492.929992,489.964996,491.98999,52479
1743607800,0,"2025-04-02 15:30:00",491.859985,492.75,489.054992,491.660003,36103
1743611400,0,"2025-04-02 16:30:00",491.695007,496.325012,490.780609,493.869995,53486
1743615000,0,"2025-04-02 17:30:00",493.709991,493.709991,488.720001,488.720001,41488
1743618600,0,"2025-04-02 18:30:00",490.079986,492.545013,489.549987,491.075012,50920
1743622200,0,"2025-04-02 19:30:00",491.269989,495.160003,490.760009,494.309997,78188
